From,To ,Capacity,CU (%)
2812697,3600569,2,0.075930144
3569111,2814793,9,0.341685649
2804048,2804245,2,0.075930144
2807800,2830501,3,0.113895216
3521569,2804146,3,0.113895216
2810013,3600569,2,0.075930144
2804346,2799190,3,0.113895216
3218132,2807693,3,0.113895216
2854609,3600569,8,0.303720577
3256941,2830499,3,0.113895216
3476984,2814793,9,0.341685649
2830460,3600569,19,0.721336371
2834758,2803707,4,0.151860289
2830471,2829641,24,0.911161731
3509187,2814793,2,0.075930144
2836473,3600569,5,0.189825361
3425629,3600569,9,0.341685649
2834798,2821144,2,0.075930144
2829522,3701487,3,0.113895216
3439191,2830501,3,0.113895216
2834802,2821144,11,0.417615793
2834810,2807699,5,0.189825361
3150998,2812589,3,0.113895216
2836075,2813516,2,0.075930144
3476979,2814793,4,0.151860289
2829399,3600569,2,0.075930144
2854012,3600569,3,0.113895216
2834755,2804209,3,0.113895216
2831693,2807640,3,0.113895216
3477022,2821144,2,0.075930144
2829398,3600569,2,0.075930144
3353914,3600569,4,0.151860289
3257537,2854609,3,0.113895216
2830470,2830499,3,0.113895216
2836077,3600569,5,0.189825361
2831698,2836077,3,0.113895216
2825576,2836473,3,0.113895216
2830501,3600569,23,0.873196659
2858581,2854609,2,0.075930144
2830495,3600569,2,0.075930144
2854616,2814793,2,0.075930144
2825592,2830499,2,0.075930144
2829115,2830499,3,0.113895216
2830499,3600569,15,0.569476082
2829527,3353914,2,0.075930144
2829510,3530413,2,0.075930144
3247419,3146811,2,0.075930144
2814235,2830490,2,0.075930144
2801502,2803924,3,0.113895216
2851200,2811439,3,0.113895216
2813930,2830459,2,0.075930144
2800907,2805081,3,0.113895216
3457484,1230599,3,0.113895216
3787724,2811439,2,0.075930144
2804966,2810073,2,0.075930144
2814165,2814164,3,0.113895216
2812477,2815177,3,0.113895216
2801125,2805173,3,0.113895216
3438776,2811428,2,0.075930144
2814060,2830490,3,0.113895216
2811428,1230599,5,0.189825361
2803705,2805081,2,0.075930144
3350623,2834395,2,0.075930144
2804695,2805081,3,0.113895216
2803783,2798889,3,0.113895216
2799206,2805173,2,0.075930144
2811449,2830459,3,0.113895216
2814430,3455555,3,0.113895216
2803813,2784133,2,0.075930144
2805013,2812432,2,0.075930144
2815177,3513107,8,0.303720577
2854016,2783432,9,0.341685649
2805173,2817728,41,1.556567957
2804996,2805081,2,0.075930144
2811648,2811558,2,0.075930144
3319035,2811794,2,0.075930144
2800992,3554498,2,0.075930144
2799236,3554498,3,0.113895216
2801607,2805081,2,0.075930144
2814017,1230599,3,0.113895216
2807745,2811558,248,9.415337889
2810008,2805081,3,0.113895216
2803660,2803924,2,0.075930144
2824941,2810073,2,0.075930144
2811599,2811809,3,0.113895216
2810154,2805081,3,0.113895216
2785368,1230599,3,0.113895216
2801608,3554498,2,0.075930144
3351907,1230599,3,0.113895216
2814242,1230599,5,0.189825361
2819716,2821396,2,0.075930144
2811623,2813965,2,0.075930144
2810572,2805173,2,0.075930144
2814364,2830490,2,0.075930144
2805252,3308199,3,0.113895216
2801380,2805081,5,0.189825361
2811479,2854016,3,0.113895216
3526946,1230599,5,0.189825361
2811809,1230599,312,11.84510251
2804136,2805081,3,0.113895216
2813963,1230599,2,0.075930144
2806395,1230599,5,0.189825361
2799164,2803924,3,0.113895216
2805216,3554498,2,0.075930144
2807655,2810144,3,0.113895216
2804098,2801374,3,0.113895216
2803620,2794563,3,0.113895216
2814413,2830490,2,0.075930144
2811858,2811809,2,0.075930144
2814150,1230599,3,0.113895216
2799386,3554498,3,0.113895216
2811675,1230599,4,0.151860289
2811747,2830498,2,0.075930144
3107147,1230599,3,0.113895216
2803865,3554498,2,0.075930144
2799064,2800952,3,0.113895216
2804128,2834395,3,0.113895216
2804046,2805081,3,0.113895216
2801354,3554498,3,0.113895216
2804290,2803846,3,0.113895216
2803593,2817728,15,0.569476082
2814333,2830490,3,0.113895216
2805226,2805081,3,0.113895216
2810028,2817728,6,0.227790433
3455555,1230599,7,0.265755505
2805201,2803593,2,0.075930144
3671833,2821321,3,0.113895216
3787706,1230599,3,0.113895216
2801527,2810073,5,0.189825361
2869961,1230599,3,0.113895216
2784130,2814089,3,0.113895216
2814366,1230599,2,0.075930144
2801005,2801374,3,0.113895216
2783400,2806395,3,0.113895216
2811489,1230599,6,0.227790433
2810144,2807745,245,9.301442673
2814164,1230599,15,0.569476082
2811853,2811809,27,1.025056948
2803794,3554498,2,0.075930144
2811801,2811439,2,0.075930144
2811573,2830490,2,0.075930144
2804192,3554498,3,0.113895216
2817512,1230599,3,0.113895216
2810162,2805081,2,0.075930144
2783437,3526946,2,0.075930144
2811679,2811551,4,0.151860289
3526955,1230599,2,0.075930144
2811578,2830472,2,0.075930144
2801222,2801374,2,0.075930144
2821396,1230599,22,0.835231587
2819478,1230599,8,0.303720577
2811678,2830498,2,0.075930144
2801356,2800952,2,0.075930144
2801098,2800976,2,0.075930144
2814216,2783432,2,0.075930144
2799127,2805081,2,0.075930144
2811682,1230599,2,0.075930144
2803524,2800976,3,0.113895216
2803807,2805173,2,0.075930144
2814009,1230599,3,0.113895216
2811793,2811489,3,0.113895216
2817728,2810144,203,7.706909643
3584096,1230599,2,0.075930144
2803846,2805081,6,0.227790433
2798889,3554498,9,0.341685649
2807785,2805081,2,0.075930144
2813970,1230599,3,0.113895216
2804106,2805081,2,0.075930144
2817594,2811679,2,0.075930144
2800952,2805081,7,0.265755505
2807747,2805081,3,0.113895216
2801009,2805173,3,0.113895216
2813965,2814089,5,0.189825361
2811726,2830490,2,0.075930144
2805069,2810073,3,0.113895216
2814412,2830490,2,0.075930144
2801012,2805173,2,0.075930144
2810169,2817728,3,0.113895216
2785355,1230599,3,0.113895216
2811797,2811809,3,0.113895216
2803883,2810157,3,0.113895216
2803659,2800993,9,0.341685649
2805089,2803593,2,0.075930144
2801425,3554498,3,0.113895216
2803773,2805081,3,0.113895216
2804897,3554498,3,0.113895216
2804157,2804049,2,0.075930144
2811487,2811809,2,0.075930144
2814434,2811551,3,0.113895216
2812432,2805081,5,0.189825361
2803456,2805173,3,0.113895216
2803765,2801374,2,0.075930144
2811725,2830490,3,0.113895216
2820271,2811551,2,0.075930144
2800976,3554498,12,0.455580866
2799128,2803593,3,0.113895216
2814386,1230599,2,0.075930144
2877155,1230599,3,0.113895216
3744622,2814242,2,0.075930144
2784133,2810073,4,0.151860289
3554498,1230599,67,2.543659833
2810157,3306271,23,0.873196659
2799446,2834395,5,0.189825361
2814280,2830490,3,0.113895216
2811558,2811809,256,9.719058466
3761722,1230599,2,0.075930144
2821321,2810157,6,0.227790433
2801142,2805173,4,0.151860289
2866827,2811439,2,0.075930144
3308199,2805081,5,0.189825361
